,Document_No,Dominant_Topic,Topic_Perc_Contrib,Topic_Keywords,review_id,appid
292,292,2.0,0.9399999976158142,"game, level, candy, reset, money, get, booster, life, year, back",5218031794,com.midasplayer.apps.candycrushsaga
293,293,2.0,0.925000011920929,"game, level, candy, reset, money, get, booster, life, year, back",5217348616,com.midasplayer.apps.candycrushsaga
294,294,9.0,0.45100000500679016,"candy, game, time, get, , move, suggestion, player, life, bank",5216477965,com.midasplayer.apps.candycrushsaga
295,295,2.0,0.9790999889373779,"game, level, candy, reset, money, get, booster, life, year, back",5214977101,com.midasplayer.apps.candycrushsaga
296,296,9.0,0.5249999761581421,"candy, game, time, get, , move, suggestion, player, life, bank",5214655973,com.midasplayer.apps.candycrushsaga
297,297,8.0,0.6129000186920166,"game, life, level, update, buy, u, get, , let, got",5214430618,com.midasplayer.apps.candycrushsaga
298,298,6.0,0.871399998664856,"game, level, ad, get, middle, , time, update, every, make",5214380054,com.midasplayer.apps.candycrushsaga
299,299,7.0,0.9710000157356262,"booster, game, life, get, move, level, without, exit, year, done",5214264556,com.midasplayer.apps.candycrushsaga
300,300,2.0,0.7671999931335449,"game, level, candy, reset, money, get, booster, life, year, back",5214160356,com.midasplayer.apps.candycrushsaga
301,301,7.0,0.957099974155426,"booster, game, life, get, move, level, without, exit, year, done",5213873921,com.midasplayer.apps.candycrushsaga
302,302,1.0,0.871399998664856,"game, add, , many, level, really, ever, way, time, much",5213552338,com.midasplayer.apps.candycrushsaga
303,303,2.0,0.935699999332428,"game, level, candy, reset, money, get, booster, life, year, back",5213068194,com.midasplayer.apps.candycrushsaga
304,304,1.0,0.699999988079071,"game, add, , many, level, really, ever, way, time, much",5213059672,com.midasplayer.apps.candycrushsaga
305,305,1.0,0.6345999836921692,"game, add, , many, level, really, ever, way, time, much",5213032935,com.midasplayer.apps.candycrushsaga
306,306,9.0,0.7749999761581421,"candy, game, time, get, , move, suggestion, player, life, bank",5212772261,com.midasplayer.apps.candycrushsaga
